code,name,country,region,lat,lng
YDF,Deer Lake,Canada,Newfoundland and Labrador,49.173168,-57.433873
CJC,Calama,Chile,Antofagasta,-22.454392,-68.929382
MEL,Melbourne,Australia,Victoria,-37.813628,144.963058
TIV,Tivat,Montenegro,Tivat,42.434981,18.706640
POP,Puerto Plata,Dominican Republic,,19.780769,-70.687109
ASB,Ashgabad,Turkmenistan,,37.960077,58.326063
ABE,Allentown,United States,Pennsylvania,40.608431,-75.490183
FAI,Fairbanks,United States,Alaska,64.837778,-147.716389
WSG,Washington,United States,Pennsylvania,47.751074,-120.740139
VIT,Vitoria,Spain,,42.859166,-2.681792
BUD,Budapest,Hungary,Budapest,47.497912,19.040235
TRW,Tarawa,Kiribati,,1.451817,172.971662
MFM,Macau,Macao,,22.198745,113.543873
TOS,Tromso,Norway,,69.649205,18.955324
DOH,Doha,Qatar,Ad Dawḩah,25.285447,51.531040
JER,Jersey,United Kingdom,,49.214439,-2.131250
UND,Kunduz,Afghanistan,,36.728591,68.868066
ROR,"Koror, Palau Island",Palau,,7.341063,134.477160
NGS,Nagasaki,Japan,Nagasaki,32.750286,129.877667
KBR,Kota Bharu,Malaysia,,6.116786,102.277684
NSI,Yaounde-Nsimalen Airport,Cameroon,,3.714916,11.547693
LFT,Lafayette,United States,Louisiana,30.224090,-92.019843
GRU,Sao Paulo-Guarulhos,Brazil,Sao Paulo,-23.434553,-46.478126
PAP,Port-au- Prince,Haiti,,18.594395,-72.307433
FRL,Forli,Italy,,44.222740,12.040731
TAE,Taegu,"Korea, Republic Of",,35.871435,128.601445
ISB,Islamabad,Pakistan,Islamabad Capital Territory,33.729388,73.093146
VIE,Vienna,Austria,Wien,48.208174,16.373819
NVT,Navegantes,Brazil,Santa Catarina,-26.894792,-48.655069
KLX,Kalamata,Greece,,37.042237,22.114126
REL,Trelew,Argentina,Chubut,-43.249302,-65.307635
PNQ,Poona,India,,18.520430,73.856744
SFO,San Francisco,United States,California,37.774930,-122.419416
FSZ,Shizuoka,Japan,Shizuoka,34.977120,138.383085
OVB,Novosibirsk,Russian Federation,Novosibirskaya oblast',55.008353,82.935733
YAM,Sault Ste. Marie,Canada,Ontario,46.521858,-84.346090
SEE,San Diego-Gillespie Field,United States,California,32.826732,-116.972511
PEW,Peshawar,Pakistan,Khyber Pakhtunkhwa,34.014975,71.580490
TGU,Tegucigalpa,Honduras,,14.072275,-87.192136
AJA,Ajaccio,France,Corse-du-Sud,41.919229,8.738635
ALF,Alta,Norway,Finnmark,69.955030,23.327905
ONX,Colon,Panama,,9.359302,-79.899861
TKQ,Kigoma,"Tanzania, United Republic Of",,-4.649795,30.527910
HOD,Hodeidah,Yemen,,14.790912,42.970884
AAN,Al Ain,United Arab Emirates,,24.130162,55.802312
AXA,Anguilla,Anguilla,,18.220554,-63.068615
TOY,Toyama,Japan,Toyama,36.695952,137.213677
NDJ,N'Djamena,Chad,,12.134846,15.055742
BTU,"Bintulu, Sarawak",Malaysia,,3.171322,113.041907
SNA,Santa Ana,United States,California,33.745473,-117.867653
TVC,Traverse City,United States,Michigan,,
UPG,Makassar,Indonesia,Sulawesi Selatan,-5.147665,119.432731
ANR,Antwerp,Belgium,,51.219448,4.402464
EUX,St Eustatius,"Bonaire, Sint Eustatius And Saba",,17.489031,-62.973555
BOS,Boston,United States,Massachusetts,42.360083,-71.058880
VIL,Dakla,Morocco,,23.722111,-15.934738
MLW,Monrovia-Sprigg Payne,Liberia,,6.289444,-10.758333
HAK,Haikou,China,Hainan,20.044412,110.198286
ZUH,Zhuhai,China,Guangdong,22.270978,113.576677
BBA,Balmaceda,Chile,Aisen,-45.909431,-71.697620
SLC,Salt Lake City,United States,Utah,40.760779,-111.891047
TSR,Timisoara,Romania,,45.748872,21.208679
BTJ,Banda Aceh,Indonesia,Aceh,5.548290,95.323756
ORH,Worcester,United States,Massachusetts,42.262593,-71.802293
SAV,Savannah,United States,Georgia,32.083541,-81.099834
CNS,Cairns,Australia,Queensland,-16.918551,145.778055
RIO,Rio de Janeiro-Metro,Brazil,,-22.984701,-43.196890
BFS,Belfast Intl,United Kingdom,,54.661781,-6.216244
PMI,Palma de Mallorca,Spain,,39.569601,2.650160
IST,Istanbul-Ataturk,Turkey,Istanbul,40.982989,28.810443
BRI,Bari,Italy,Bari,41.117143,16.871872
PMO,Palermo,Italy,Palermo,38.115688,13.361267
ALG,Algiers,Algeria,,36.753768,3.058756
VGO,Vigo,Spain,Provincia de Pontevedra,42.240599,-8.720727
SOU,Southampton,United Kingdom,Hampshire,50.9097,-1.404351
GUA,Guatemala City,Guatemala,,14.634915,-90.506882
MED,Medina,Saudi Arabia,,24.524654,39.569184
SAL,San Salvador,El Salvador,,13.692940,-89.218191
KBP,Kiev-Boryspil,Ukraine,,50.338222,30.893927
VAA,Vaasa,Finland,,63.095089,21.616456
LYP,Faisalabad,Pakistan,Punjab,31.418714,73.079107
ASU,Asuncion,Paraguay,,-25.263740,-57.575926
KUF,Samara,Russian Federation,,53.241504,50.221246
BYQ,Bunyu,Indonesia,,,
ORL,Orlando-Metro,United States,Florida,,
VIX,Vitoria,Brazil,Espirito Santo,-20.297618,-40.295777
TRN,Turin,Italy,,45.070339,7.686864
YQT,Thunder Bay,Canada,Ontario,48.380895,-89.247682
EVE,Evenes,Norway,,68.486720,16.896562
MHD,"Mashad, Iran","Iran, Islamic Republic Of",,36.260462,59.616755
